synthetic_sme_id,synthetic_manager_id,manager_enterprise_sequence,manager_sex,manager_age_band,manager_education_level,manager_urban_rural,manager_in_workforce,sme_enterprise_activity_1digit,sme_enterprise_age_band,sme_ownership_structure,sme_household_ownership_share_band,sme_workplace_type,sme_current_capital_band,sme_startup_capital_band,sme_startup_capital_source,sme_primary_buyer_type,sme_has_business_license,sme_has_commercial_registration,sme_keeps_accounting_books,sme_has_online_page_or_storefront,sme_has_mobile_sales_app,sme_share_of_sales_online_band,sme_hires_nonhousehold_workers,sme_num_nonhousehold_workers_band,sme_num_related_external_workers_band,sme_any_workers_with_social_insurance,sme_num_workers_with_social_insurance_band,sme_new_workers_joined_last12m,sme_workers_left_last12m,sme_annual_wage_bill_band,sme_annual_taxes_paid_band,sme_average_monthly_net_earnings_band
1,5,1,0,3,1,1,1,2,-1,1,-1,12,7,1,1,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
2,6,1,0,2,3,0,1,7,4,1,-1,2,7,3,1,1,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,-1,2
3,18,1,1,6,1,1,0,18,3,1,-1,1,-1,2,1,1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,5
4,18,2,1,6,1,1,0,0,2,1,-1,2,5,6,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,2
5,18,3,1,6,1,1,0,8,6,1,-1,1,3,5,1,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,3
6,19,1,0,6,1,0,0,6,5,1,-1,9,6,6,9,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,-1,-1,3
7,19,2,0,6,1,0,0,0,1,1,-1,6,3,6,1,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,4,4
8,19,3,0,6,1,0,0,6,5,1,-1,13,5,1,18,1,0,1,0,0,0,-1,1,1,0,0,0,0,0,-1,-1,4
9,27,1,0,6,2,0,0,5,3,1,-1,10,7,3,1,1,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
10,27,2,0,6,2,0,0,2,5,1,-1,9,1,6,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
11,30,1,0,3,1,1,1,0,4,1,-1,11,7,7,1,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,2
12,34,1,1,4,1,0,1,6,3,1,-1,1,3,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
13,40,1,0,3,3,0,1,5,4,1,-1,12,5,5,1,1,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,2
14,50,1,1,6,1,0,0,6,5,1,-1,3,7,3,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
15,50,2,1,6,1,0,0,0,5,1,-1,1,6,4,1,4,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
16,50,3,1,6,1,0,0,6,5,1,-1,1,6,3,3,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
17,53,1,0,4,2,0,1,7,4,1,-1,9,4,-1,2,1,1,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,2
18,66,1,0,4,1,1,1,7,5,1,-1,13,6,4,1,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
19,70,1,0,3,4,1,1,6,3,1,-1,6,-1,3,4,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0
20,71,1,0,6,1,1,1,18,4,1,-1,9,5,1,1,1,1,0,1,0,0,-1,1,0,0,0,0,0,0,0,-1,4
21,95,1,0,6,1,0,0,2,6,1,-1,2,5,6,3,1,0,1,1,0,0,-1,1,0,0,0,0,0,0,0,4,3
22,95,2,0,6,1,0,0,6,3,1,-1,13,4,7,1,1,0,1,0,0,0,-1,1,0,0,0,0,1,0,0,-1,4
23,114,1,0,4,1,0,1,5,5,1,2,2,4,7,1,11,1,0,0,0,0,-1,0,0,0,0,0,0,0,5,-1,5
24,120,1,1,6,2,0,0,6,6,1,-1,1,6,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
25,120,2,1,6,2,0,0,6,4,1,-1,2,6,3,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
26,120,3,1,6,2,0,0,6,5,1,-1,1,6,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
27,129,1,0,6,1,0,0,6,5,1,-1,9,4,3,1,1,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,1
28,129,2,0,6,1,0,0,6,6,1,-1,3,7,7,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
29,129,3,0,6,1,0,0,7,4,1,-1,13,5,5,8,1,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,4
30,132,1,1,5,1,0,1,8,5,1,-1,2,6,2,1,1,0,1,0,0,0,-1,1,0,0,0,0,0,0,0,5,1
31,138,1,1,5,1,0,1,18,5,1,-1,2,2,5,2,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
32,152,1,0,6,1,0,0,5,5,1,-1,2,3,4,1,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,3
33,152,2,0,6,1,0,0,5,3,1,-1,6,5,3,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,2
34,154,1,0,3,4,0,1,15,4,1,-1,7,7,5,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
35,155,1,0,4,4,0,1,12,5,1,-1,2,4,-1,1,1,0,1,1,0,1,-1,1,0,0,0,-1,0,0,0,-1,3
36,166,1,1,6,1,1,0,6,6,1,-1,1,4,7,3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
37,168,1,0,4,1,0,1,6,4,1,-1,9,4,2,1,1,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,-1,3
38,170,1,0,1,2,0,1,2,2,1,-1,14,6,7,1,1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,-1
39,180,1,0,6,1,0,0,7,-1,1,-1,2,6,3,1,1,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1
40,180,2,0,6,1,0,0,6,2,1,-1,2,6,4,4,1,1,0,1,0,0,-1,0,1,0,0,0,0,0,0,-1,1
41,181,1,0,6,1,1,0,0,5,1,-1,13,7,5,1,6,1,0,0,0,0,-1,1,0,0,0,0,0,0,-1,-1,2
42,181,2,0,6,1,1,0,6,4,1,-1,13,7,6,17,1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
43,183,1,0,2,1,0,1,7,-1,2,-1,11,1,1,1,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,2,3
44,195,1,1,6,3,0,0,6,5,1,-1,2,6,6,1,1,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,-1,1
45,195,2,1,6,3,0,0,6,5,1,-1,2,2,4,18,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,-1,2,2
46,195,3,1,6,3,0,0,6,5,1,-1,2,5,1,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3
47,197,1,0,6,1,1,0,18,4,1,-1,9,6,6,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
48,197,2,0,6,1,1,0,6,6,1,-1,12,6,4,2,1,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,-1,2
