synthetic_sme_id,synthetic_manager_id,manager_enterprise_sequence,manager_sex,manager_age_band,manager_education_level,manager_urban_rural,manager_in_workforce,sme_enterprise_activity_1digit,sme_enterprise_age_band,sme_ownership_structure,sme_household_ownership_share_band,sme_workplace_type,sme_current_capital_band,sme_startup_capital_band,sme_startup_capital_source,sme_primary_buyer_type,sme_has_business_license,sme_has_commercial_registration,sme_keeps_accounting_books,sme_has_online_page_or_storefront,sme_has_mobile_sales_app,sme_share_of_sales_online_band,sme_hires_nonhousehold_workers,sme_num_nonhousehold_workers_band,sme_num_related_external_workers_band,sme_any_workers_with_social_insurance,sme_num_workers_with_social_insurance_band,sme_new_workers_joined_last12m,sme_workers_left_last12m,sme_annual_wage_bill_band,sme_annual_taxes_paid_band,sme_average_monthly_net_earnings_band
1,3,1,0,3,2,1,1,6,4,1,-1,12,6,3,1,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,5
2,8,1,1,4,1,1,0,2,3,1,-1,1,5,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
3,9,1,1,6,1,0,0,0,5,1,-1,1,1,4,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,1
4,25,1,0,5,2,0,1,7,4,1,-1,9,5,1,1,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
5,29,1,0,5,4,0,1,6,2,1,-1,6,6,4,3,1,1,1,0,0,0,-1,0,1,0,0,-1,0,0,0,-1,2
6,37,1,0,6,2,0,0,7,6,1,-1,2,4,7,1,1,0,1,1,0,0,-1,1,0,0,0,0,0,0,0,-1,4
7,37,2,0,6,2,0,0,0,5,1,-1,2,5,2,1,1,1,0,0,0,0,-1,0,1,0,0,-1,0,0,0,-1,-1
8,38,1,0,4,2,0,1,7,1,1,-1,2,1,2,1,1,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,5
9,39,1,1,6,1,0,0,8,5,1,-1,7,7,3,3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0
10,42,1,0,3,4,1,1,17,5,1,-1,13,7,6,1,7,1,0,0,0,0,-1,0,2,0,0,-1,0,0,0,-1,5
